City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,sao vicente,-23.9631,-46.3919,77.27,78,65,3.0,BR,1706389770
386,puerto deseado,-47.7503,-65.8938,67.87,41,0,1.79,AR,1706389948
387,howrah,22.5892,88.3103,55.4,82,0,4.61,IN,1706389948
388,crane,31.3974,-102.3501,58.57,31,0,9.95,US,1706389948
389,zhangye,38.9342,100.4517,17.44,40,17,4.38,CN,1706389948
390,shimoda,34.6667,138.95,40.1,66,97,4.81,JP,1706389948
391,sola,-13.8833,167.55,81.63,69,95,11.7,VU,1706389949
392,hastings,50.8552,0.5729,46.53,41,99,14.65,GB,1706389949
393,mumbwa,-14.9783,27.0619,62.94,70,6,3.67,ZM,1706389949
394,woodward,36.4337,-99.3904,56.43,46,0,13.8,US,1706389949
395,harriman,35.934,-84.5524,56.68,99,100,4.59,US,1706389949
396,inyati,-19.6756,28.8469,65.08,58,94,6.91,ZW,1706389949
397,brisas de zicatela,15.8369,-97.0419,86.52,66,0,3.44,MX,1706389950
398,tevriz,57.509,72.4042,-17.43,100,85,2.48,RU,1706389950
399,khanty-mansiysk,61.0042,69.0019,15.91,86,40,2.24,RU,1706389950
400,minas de marcona,-15.2119,-75.1103,72.79,65,90,11.95,PE,1706389950
401,jaguaruna,-28.615,-49.0256,71.56,90,78,4.32,BR,1706389950
402,soure,-0.7167,-48.5233,79.29,87,100,9.28,BR,1706389950
403,nikolayevsk-on-amure,53.1406,140.73,-3.46,100,100,2.64,RU,1706389951
404,comodoro rivadavia,-45.8667,-67.5,82.26,10,0,21.85,AR,1706389660
405,yeraliyev,43.2,51.65,36.64,61,100,10.09,KZ,1706389951
406,zahirabad,17.6833,77.6167,66.02,58,69,4.9,IN,1706389951
407,atafu village,-8.5421,-172.5159,84.47,70,59,6.38,TK,1706389951
408,dumfries,38.5676,-77.328,60.76,68,98,5.08,US,1706389952
409,burang,30.25,81.1667,16.02,57,1,1.61,CN,1706389952
410,amga,60.8953,131.9608,-36.04,100,100,2.19,RU,1706389952
411,tralee,52.2704,-9.7026,51.62,90,100,10.89,IE,1706389952
412,sao desiderio,-12.3633,-44.9733,71.47,98,100,2.62,BR,1706389952
413,zima,53.9202,102.0442,-13.2,100,98,2.48,RU,1706389952
414,es castell,39.8795,4.2854,54.28,76,0,5.75,ES,1706389952
415,kashgar,39.4547,75.9797,21.88,78,100,1.32,CN,1706389953
416,tagta,41.6504,59.9164,28.96,79,52,9.95,TM,1706389756
417,sur,22.5667,59.5289,71.53,69,54,12.95,OM,1706389953
418,berehove,48.2056,22.6442,34.05,93,67,10.98,UA,1706389953
419,el granada,37.5027,-122.4694,66.63,72,0,5.75,US,1706389953
420,danville,36.586,-79.395,62.02,73,100,4.61,US,1706389948
421,praia da vitoria,38.7333,-27.0667,57.76,86,77,15.35,PT,1706389954
422,dauphin,51.1494,-100.0502,33.53,94,28,5.44,CA,1706389954
423,gillette,44.2911,-105.5022,50.11,28,0,10.36,US,1706389806
424,demopolis,32.5176,-87.8364,71.55,78,40,5.75,US,1706389954
425,swift current,50.2834,-107.8014,35.35,82,99,11.41,CA,1706389954
426,yeed,4.55,43.0333,86.56,37,69,8.57,SO,1706389954
427,ambad,19.6167,75.8,67.6,40,66,6.2,IN,1706389955
428,vetluga,57.8557,45.781,1.71,100,100,2.01,RU,1706389955
429,nogliki,51.8333,143.1667,7.41,95,99,9.15,RU,1706389955
430,belel,7.05,14.4333,64.17,26,5,6.24,CM,1706389877
431,brookings,44.3114,-96.7984,38.12,85,0,6.91,US,1706389747
432,xiva,41.3783,60.3639,21.18,78,72,10.63,UZ,1706389955
433,asha,54.9973,57.2722,8.69,97,98,2.68,RU,1706389955
434,hassa,36.7994,36.5178,39.4,51,81,3.8,TR,1706389956
435,villa ojo de agua,-29.5,-63.6938,89.69,19,0,15.19,AR,1706389956
436,keren,15.7778,38.4581,61.99,76,88,4.59,ER,1706389956
437,jacksonville,30.3322,-81.6556,84.42,64,75,12.66,US,1706389671
438,lages,-27.8161,-50.3261,63.88,95,25,5.01,BR,1706389853
439,saint-florentin,48.0006,3.7249,35.42,81,100,6.76,FR,1706389957
440,adigrat,14.277,39.462,56.41,78,43,3.0,ET,1706389957
441,cobija,-11.0267,-68.7692,77.63,87,91,2.73,BO,1706389957
